category,mean(logDist),std(logDist),,,
hiker Dry Flat,0.902665682,1.113341682,,,
hiker Dry Mtn,1.232712472,1.073620744,,,
hiker Temp Mtn,0.961966599,1.257947877,,,
hiker else,0.588459291,1.20681269,,,
dementia Dry Flat,0.434907569,1.483663526,,,
dementia Dry Mtn,0.536249005,0.957897711,,,
dementia Temp Mtn,-0.312701407,1.511964584,,,
dementia Urban,-0.158658733,1.652323597,,,
dementia else,-0.031448035,1.61923907,,,
child 1-3 Dry,0.024424394,1.115701619,,,
child 1-3 Temp Mtn,-0.315906488,1.375214308,,,
child 1-3 Urban,-1.298097202,1.778491537,,,
child 1-3 Else,-0.01235441,1.37931074,,,
child 4-6 Dry,0.383159187,1.115285789,,,
child 4-6 Temp Mtn,-0.364501639,1.071310929,,,
child 4-6 Urban,-1.007930677,2.225230408,,,
child 4-6 Else,-0.03288938,1.526816248,,,
child 7-9 Dry,0.077082908,1.869920265,,,
child 7-9 Temp Mtn,0.3530957,1.319448938,,,
child 7-9 Urban,-1.420151845,2.279111951,,,
child 7-9 Else,0.250700222,1.211225499,,,
child 10-12 Dry,1.127894452,1.080614521,,,
child 10-12 Temp Mtn,0.625782573,1.059808558,,,
child 10-12 Urban,0.052176637,1.053177956,,,
child 10-12 Else,0.293698202,1.261038675,,,
child 13-15 Dry,0.843143089,1.613561718,,,
child 13-15 Temp Mtn,1.135429768,1.206598012,,,
child 13-15 Urban,-0.833183619,1.994810385,,,
child 13-15 Else,0.438267833,1.334012835,,,
